titlu	pret	oras	grad_finisare	descriere	tip_oferta	persoana	etaj	vechime_imobil	numar_bai	numar_balcoane	geamuri_termopan	centrala_termica	compatimentare	parchet	confort	gresie	faianta	zugravit_lavabil	loc_parcare	agentie	numar_camere	strada	suprafata	cartier	link	modificari_interioare	balcoane_inchise	aer_conditionat	loc_in_pod	loc_in_pivnita	uscator
Vand garsoniera in cartierul Iris	39 000 EUR	Cluj-Napoca, Cluj, Iris	Nespecificat	    Agentia Piacenza vinde garsoniera in cartierul Iris,  zona strazii Oasului,  suprafata de 24 mp + balcon,  etaj 1/4,  finisata clasic,  usa metalica,  centrala termica,  geamuri termopan. Pret 39000 euro			Etajul 1				Da	Da		Da		Da	Da	Nu				Oasului 	24mp 	Iris	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7528361	Nu		Nu			
Vand garsoniera in cartierul Marasti	31 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Agentia Piacenza vinde garsoniera in cartierul Marasti ,  zona strazii Fabricii,  suprafata 22 mp,  etaj 3/4,  finisata,  geamuri termopan,  usa metalica,  centrala termica,  mobilata,  izolata . Pret 31000 euro			Etajul 3				Da	Da		Da		Da	Da	Nu				Fabricii 	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7375729	Nu		Nu			
Garsoniera de vanzare in Marasti	49 000 EUR	Cluj-Napoca, Cluj, Marasti		    Oportunitate investitie! Va oferim spre vanzare garsoniera in Cluj Napoca,  cartierul Marasti,  zona Iulius Mall. Garsoniera este situata la etajul 4 intr-un imobil nou dispus pe 7 nivele. Avand o suprafata utila de 22 mp dispune de 1 camera,  1 bucatarie,  1 baie,  1 balcoane. Finisajele de tip modern sunt evidentiate astfel: pardoseala cu parchet laminat,  gresie moderna,  pereti cu lavabil,  bucatarie cu faianta moderna,  gresie moderna si baie cu faianta moderna,  gresie moderna,  geamuri termoizolante din PVC,  usi interioare din lemn,   usa de la intrare metalica. Sistemul de incalzire in apartament este cu centrala de bloc. Garsoniera se vinde  mobilata modern,   utilata,  fiind dotat cu lift,   interfon. Pentru mai multe detalii si programarea unei vizionari nu ezitati sa contactati agentul dumneavoastra.																NAPOCA Imobiliare		-	22mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7567234						
Garsoniera 21mp	31 000 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Vanzare garsoniera 21 mp in zona Marasti,   - ID V485357										Da		Da	Da			Tara Imobiliare		- 	21mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7597576						
Garsoniera 28mp	47 000 EUR	Cluj-Napoca, Cluj, Manastur	Nespecificat	    Vanzare garsoniera 28 mp in zona Manastur,   - ID V207570										Da		Da	Da			Tara Imobiliare		- 	28mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7597588						
Garsoniera 28mp	47 500 EUR	Cluj-Napoca, Cluj, Marasti	Nespecificat	    Vanzare garsoniera 28 mp in zona Marasti,   - ID V478872										Da		Da	Da			Tara Imobiliare		- 	28mp 	Marasti	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7590285						
Vanzare garsoniera  str. Almasului cart. Manastur	47 000 EUR	Cluj-Napoca, Cluj, Manastur	Finisat clasic	    EXCLUSIVITATE !!!! LUXWIL oferă spre vânzare pe str. Almaşului,  locaţie foarte bună,  garsoniera mobilată,  1  cameră,  bucătărie,  baie,  hol,   confort  1,   finisată,   orientare estică,  balcon închis,   preţ 470000 euro.  negociabil.			Etajul 4	mai vechi de 2000			Da	Nu		Da		Da	Da	Da		LUXWIL		Almasului 	25mp 	Manastur	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7432140	Nu		Nu			
Vânzare garsonieră 33 mp. cu centrala termică cart. Grigorescu	43 000 EUR	Cluj-Napoca, Cluj, Grigorescu	Finisat clasic	    LUXWIL imobiliare oferă spre vânzare în zona Profi,  garsonieră 33 mp,  la parter inalt,  confort 1,   cameră,  bucătărie,  baie,  finisaje clasice,  centrală termică individuală,   preţ 43.000 euro.			Parter	mai vechi de 2000			Nu	Da		Da		Nu	Nu	Nu		LUXWIL		Fantanele 	33mp 	Grigorescu	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7600932	Nu		Nu			
VAnd apartament 1 camera, central situat, in S=42mp, str. Nasaud, la 3 min ...	59 900 EUR	Cluj-Napoca, Cluj, Centru	Necesita renovare	    Vand apartament o camera,  central situat,  str. Nasaud,  et.3/7,  decomandat,  compus din camera,  bucatarie,  baie,  balcon,  2 debarale, un hol la intrare,  cu C.T, usa antiefractie,  izolat exterior,  finisaje clasice,  locatie excelenta la 3 min de Iulius-Moll,  la 3 min de centru,  pret 59900eur.	Vand	Agentie Imobiliara	Etajul 3	mai vechi de 2000	1	1	Nu	Da	Decomandat	Nu	Sporit	Nu	Nu	Nu	Nu	Venetia	1 	Nasaud 	42mp 	Centru	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7601620	Nu	Nu	Nu	Nu	Nu	Nu
Garsoniera, mobilata si utilata, et intermediar, Aleea Detunata	49 900 EUR	Cluj-Napoca, Cluj, Gheorgheni	Nespecificat	"    Va propunem spre vanzare exclusiv prin Habitas Imobiliare,  garsoniera situata intr-o zona foarte frumoasa,  verde,  aproape de Iulius Mall si FSEGA.Garsoniera este pozitionata la un etaj intermediar superior,  intr-un imobil( dotat cu lift) de 10 etaje si are o suprafata de 28 mp utili,  compartimentat optim,  astfel: 1 camera,  bucatarie,  baie,  camara alimente,  antreu,  logie.Finisajele sunt medii spre moderne: geamuri termopan,  parchet laminat,  gresie si faianta,  usa metalica la intrare.Garsoniera este foarte ingrijita,  totodata exista posibilitatea cumparatorului sa o finiseze dupa preferinte.Amplasarea imobilului intr-o zona linistita,  cu multa verdeata,  este un atuu de necontestat,  fiind astfel potrivit atat pentru cei care isi doresc o locuinta cocheta cat si pentru investitori.Zona este foarte cautata,  in special datorita accesului facil spre Iulius Mall si Facultatea de Stiinte Economice.Pe langa atractiile principale foarte cunoscute,  de mentionat sunt: Autogara,  Parcul Mercur,  Baza sportiva Napoca si Interservisan.Se vinde mobilat si utilat.Apartamentul se vinde cu preluare de chiriasi.Pretul este negociabil."			Etajul 9	mai vechi de 2000				Nu		Da		Da	Da	Da		Habitas Imobiliare		Aleea Detunata 	28mp 	Gheorgheni	http://www.piata-az.ro/anunturi/oras-cluj-napoca/7424966			Nu			
